doi,publisher,journal,open_access,uob_is_corresponding,year
10.1016/j.intfin.2021.101303,Elsevier,Journal of International Financial Markets Institutions and Money,green,FALSE,2021
10.1016/j.intfin.2021.101337,Elsevier,Journal of International Financial Markets Institutions and Money,green,TRUE,2021
10.1016/j.intfin.2023.101917,Elsevier,Journal of International Financial Markets Institutions and Money,hybrid,FALSE,2024
10.1016/j.intman.2020.100810,Elsevier,Journal of International Management,green,FALSE,2021
10.1016/j.intman.2022.100955,Elsevier,Journal of International Management,green,FALSE,2022
10.1016/j.intman.2023.101090,Elsevier,Journal of International Management,hybrid,FALSE,2023
10.1016/j.intman.2023.101108,Elsevier,Journal of International Management,hybrid,FALSE,2024
10.1016/j.intman.2024.101120,Elsevier,Journal of International Management,hybrid,TRUE,2024
10.1016/j.intman.2024.101152,Elsevier,Journal of International Management,hybrid,FALSE,2024
10.1016/j.intman.2024.101156,Elsevier,Journal of International Management,hybrid,TRUE,2024
10.1016/j.intman.2025.101234,Elsevier,Journal of International Management,hybrid,FALSE,2025
10.1016/j.ipm.2021.102549,Elsevier,Information Processing & Management,closed,TRUE,2021
10.1016/j.iref.2022.11.012,Elsevier,International Review of Economics & Finance,closed,TRUE,2023
10.1016/j.iref.2024.01.040,Elsevier,International Review of Economics & Finance,closed,FALSE,2024
10.1016/j.iref.2024.103835,Elsevier,International Review of Economics & Finance,hybrid,FALSE,2025
10.1016/j.irfa.2021.101884,Elsevier,International Review of Financial Analysis,closed,FALSE,2021
10.1016/j.irfa.2021.101942,Elsevier,International Review of Financial Analysis,green,FALSE,2021
10.1016/j.irfa.2021.101974,Elsevier,International Review of Financial Analysis,green,FALSE,2022
10.1016/j.irfa.2022.102273,Elsevier,International Review of Financial Analysis,hybrid,FALSE,2022
10.1016/j.irfa.2022.102352,Elsevier,International Review of Financial Analysis,green,TRUE,2022
10.1016/j.irfa.2023.102802,Elsevier,International Review of Financial Analysis,hybrid,TRUE,2023
10.1016/j.irfa.2023.102894,Elsevier,International Review of Financial Analysis,hybrid,FALSE,2023
10.1016/j.irfa.2023.102979,Elsevier,International Review of Financial Analysis,hybrid,FALSE,2024
10.1016/j.irfa.2023.103056,Elsevier,International Review of Financial Analysis,closed,FALSE,2024
10.1016/j.irfa.2024.103072,Elsevier,International Review of Financial Analysis,closed,FALSE,2024
10.1016/j.irfa.2024.103206,Elsevier,International Review of Financial Analysis,closed,FALSE,2024
10.1016/j.irfa.2024.103478,Elsevier,International Review of Financial Analysis,closed,FALSE,2024
10.1016/j.irfa.2024.103704,Elsevier,International Review of Financial Analysis,hybrid,TRUE,2024
10.1016/j.isatra.2022.11.016,Elsevier,ISA Transactions,hybrid,FALSE,2022
10.1016/j.isatra.2023.05.006,Elsevier,ISA Transactions,hybrid,TRUE,2023
10.1016/j.isci.2023.107189,Elsevier,iScience,gold,FALSE,2023
10.1016/j.isci.2023.108219,Elsevier,iScience,gold,TRUE,2023
10.1016/j.istruc.2021.09.053,Elsevier,Structures,closed,TRUE,2021
10.1016/j.istruc.2022.10.097,Elsevier,Structures,closed,TRUE,2022
10.1016/j.istruc.2022.12.055,Elsevier,Structures,hybrid,TRUE,2023
10.1016/j.istruc.2023.01.118,Elsevier,Structures,hybrid,TRUE,2023
10.1016/j.istruc.2023.01.122,Elsevier,Structures,closed,FALSE,2023
10.1016/j.istruc.2023.02.090,Elsevier,Structures,closed,FALSE,2023
10.1016/j.istruc.2023.03.134,Elsevier,Structures,hybrid,TRUE,2023
10.1016/j.istruc.2024.105942,Elsevier,Structures,closed,FALSE,2024
10.1016/j.istruc.2024.107789,Elsevier,Structures,closed,FALSE,2024
10.1016/j.istruc.2024.107796,Elsevier,Structures,closed,FALSE,2024
10.1016/j.istruc.2025.108437,Elsevier,Structures,closed,FALSE,2025
10.1016/j.iswa.2022.200101,Elsevier,Intelligent Systems with Applications,gold,TRUE,2022
10.1016/j.jaad.2023.07.040,Elsevier,Journal of the American Academy of Dermatology,closed,FALSE,2023
10.1016/j.jaad.2023.07.206,Elsevier,Journal of the American Academy of Dermatology,closed,FALSE,2023
10.1016/j.jaci.2024.05.015,Elsevier,Journal of Allergy and Clinical Immunology,hybrid,FALSE,2024
10.1016/j.jad.2021.08.124,Elsevier,Journal of Affective Disorders,closed,FALSE,2021
10.1016/j.jad.2024.01.212,Elsevier,Journal of Affective Disorders,green,FALSE,2024
10.1016/j.jallcom.2022.168637,Elsevier,Journal of Alloys and Compounds,closed,FALSE,2023
10.1016/j.jallcom.2025.178500,Elsevier,Journal of Alloys and Compounds,hybrid,FALSE,2025
10.1016/j.jamda.2023.08.017,Elsevier,Journal of the American Medical Directors Association,closed,FALSE,2023
10.1016/j.jas.2023.105898,Elsevier,Journal of Archaeological Science,closed,FALSE,2024
10.1016/j.jasrep.2021.102829,Elsevier,Journal of Archaeological Science Reports,green,FALSE,2021
10.1016/j.jasrep.2021.102895,Elsevier,Journal of Archaeological Science Reports,hybrid,FALSE,2021
10.1016/j.jasrep.2021.103103,Elsevier,Journal of Archaeological Science Reports,hybrid,FALSE,2021
10.1016/j.jasrep.2021.103119,Elsevier,Journal of Archaeological Science Reports,closed,TRUE,2021
10.1016/j.jasrep.2023.103981,Elsevier,Journal of Archaeological Science Reports,hybrid,FALSE,2023
10.1016/j.jastp.2020.105530,Elsevier,Journal of Atmospheric and Solar-Terrestrial Physics,closed,FALSE,2021
10.1016/j.jbankfin.2022.106650,Elsevier,Journal of Banking & Finance,green,FALSE,2023
10.1016/j.jbc.2022.102172,Elsevier,Journal of Biological Chemistry,gold,FALSE,2022
10.1016/j.jbef.2024.100974,Elsevier,Journal of Behavioral and Experimental Finance,hybrid,FALSE,2024
10.1016/j.jbiomech.2022.111272,Elsevier,Journal of Biomechanics,hybrid,TRUE,2022
10.1016/j.jbusres.2019.08.036,Elsevier,Journal of Business Research,green,FALSE,2021
10.1016/j.jbusres.2020.05.011,Elsevier,Journal of Business Research,green,TRUE,2021
10.1016/j.jbusres.2020.05.015,Elsevier,Journal of Business Research,hybrid,TRUE,2021
10.1016/j.jbusres.2020.09.026,Elsevier,Journal of Business Research,green,FALSE,2021
10.1016/j.jbusres.2020.09.065,Elsevier,Journal of Business Research,green,FALSE,2021
10.1016/j.jbusres.2021.01.050,Elsevier,Journal of Business Research,green,FALSE,2021
10.1016/j.jbusres.2021.02.028,Elsevier,Journal of Business Research,closed,TRUE,2021
10.1016/j.jbusres.2021.03.028,Elsevier,Journal of Business Research,closed,TRUE,2021
10.1016/j.jbusres.2021.04.027,Elsevier,Journal of Business Research,closed,TRUE,2021
10.1016/j.jbusres.2021.04.052,Elsevier,Journal of Business Research,green,TRUE,2021
10.1016/j.jbusres.2021.04.060,Elsevier,Journal of Business Research,green,FALSE,2021
10.1016/j.jbusres.2021.06.052,Elsevier,Journal of Business Research,green,TRUE,2021
10.1016/j.jbusres.2021.10.042,Elsevier,Journal of Business Research,green,FALSE,2022
10.1016/j.jbusres.2021.11.024,Elsevier,Journal of Business Research,closed,FALSE,2022
10.1016/j.jbusres.2022.01.026,Elsevier,Journal of Business Research,green,FALSE,2022
10.1016/j.jbusres.2022.113315,Elsevier,Journal of Business Research,closed,FALSE,2023
10.1016/j.jbusres.2022.113468,Elsevier,Journal of Business Research,hybrid,FALSE,2022
10.1016/j.jbusres.2022.113525,Elsevier,Journal of Business Research,hybrid,TRUE,2023
10.1016/j.jbusres.2023.113660,Elsevier,Journal of Business Research,hybrid,TRUE,2023
10.1016/j.jbusres.2024.114591,Elsevier,Journal of Business Research,hybrid,FALSE,2024
10.1016/j.jbusres.2024.114691,Elsevier,Journal of Business Research,hybrid,TRUE,2024
10.1016/j.jbusres.2024.114787,Elsevier,Journal of Business Research,hybrid,FALSE,2024
10.1016/j.jchemneu.2024.102423,Elsevier,Journal of Chemical Neuroanatomy,closed,FALSE,2024
10.1016/j.jcis.2024.05.042,Elsevier,Journal of Colloid and Interface Science,hybrid,TRUE,2024
10.1016/j.jclepro.2020.124358,Elsevier,Journal of Cleaner Production,closed,FALSE,2021
10.1016/j.jclepro.2020.125522,Elsevier,Journal of Cleaner Production,closed,TRUE,2021
10.1016/j.jclepro.2021.128561,Elsevier,Journal of Cleaner Production,closed,TRUE,2021
10.1016/j.jclepro.2021.130170,Elsevier,Journal of Cleaner Production,closed,FALSE,2022
10.1016/j.jclepro.2022.130508,Elsevier,Journal of Cleaner Production,closed,FALSE,2022
10.1016/j.jclepro.2022.133126,Elsevier,Journal of Cleaner Production,hybrid,TRUE,2022
10.1016/j.jclepro.2022.133590,Elsevier,Journal of Cleaner Production,closed,FALSE,2022
10.1016/j.jclepro.2023.136012,Elsevier,Journal of Cleaner Production,hybrid,FALSE,2023
10.1016/j.jclepro.2023.136522,Elsevier,Journal of Cleaner Production,hybrid,TRUE,2023
10.1016/j.jclepro.2023.138457,Elsevier,Journal of Cleaner Production,closed,FALSE,2023
10.1016/j.jclepro.2023.139921,Elsevier,Journal of Cleaner Production,closed,FALSE,2024
10.1016/j.jclepro.2024.141334,Elsevier,Journal of Cleaner Production,closed,FALSE,2024
10.1016/j.jclepro.2024.143811,Elsevier,Journal of Cleaner Production,closed,TRUE,2024
10.1016/j.jclimf.2023.100026,Elsevier,Journal of Climate Finance,closed,TRUE,2023
10.1016/j.jclinepi.2024.111442,Elsevier,Journal of Clinical Epidemiology,closed,FALSE,2024
10.1016/j.jcomc.2024.100529,Elsevier,Composites Part C Open Access,gold,FALSE,2024
10.1016/j.jcomm.2024.100436,Elsevier,Journal of Commodity Markets,hybrid,TRUE,2024
10.1016/j.jcomm.2025.100472,Elsevier,Journal of Commodity Markets,hybrid,FALSE,2025
10.1016/j.jconrel.2024.12.014,Elsevier,Journal of Controlled Release,closed,FALSE,2024
10.1016/j.jcorpfin.2021.102042,Elsevier,Journal of Corporate Finance,green,FALSE,2021
10.1016/j.jcorpfin.2023.102447,Elsevier,Journal of Corporate Finance,hybrid,FALSE,2023
10.1016/j.jcsr.2021.106867,Elsevier,Journal of Constructional Steel Research,green,FALSE,2021
10.1016/j.jcsr.2021.106892,Elsevier,Journal of Constructional Steel Research,green,FALSE,2021
10.1016/j.jcsr.2022.107324,Elsevier,Journal of Constructional Steel Research,closed,TRUE,2022
10.1016/j.jcsr.2022.107426,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2022
10.1016/j.jcsr.2022.107534,Elsevier,Journal of Constructional Steel Research,hybrid,TRUE,2022
10.1016/j.jcsr.2022.107700,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2023
10.1016/j.jcsr.2023.108055,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2023
10.1016/j.jcsr.2023.108158,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2023
10.1016/j.jcsr.2023.108198,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2023
10.1016/j.jcsr.2023.108251,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2024
10.1016/j.jcsr.2023.108311,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2024
10.1016/j.jcsr.2024.108524,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2024
10.1016/j.jcsr.2024.108678,Elsevier,Journal of Constructional Steel Research,closed,FALSE,2024
10.1016/j.jctube.2022.100299,Elsevier,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,gold,FALSE,2022
10.1016/j.jddst.2020.102228,Elsevier,Journal of Drug Delivery Science and Technology,closed,FALSE,2021
10.1016/j.jddst.2023.104894,Elsevier,Journal of Drug Delivery Science and Technology,hybrid,TRUE,2023
10.1016/j.jddst.2024.106369,Elsevier,Journal of Drug Delivery Science and Technology,hybrid,TRUE,2024
10.1016/j.jddst.2024.106538,Elsevier,Journal of Drug Delivery Science and Technology,hybrid,FALSE,2025
10.1016/j.jddst.2024.106567,Elsevier,Journal of Drug Delivery Science and Technology,closed,TRUE,2025
10.1016/j.jdec.2024.05.003,Elsevier,Journal of Digital Economy,hybrid,TRUE,2024
10.1016/j.jebo.2021.08.029,Elsevier,Journal of Economic Behavior & Organization,green,TRUE,2021
10.1016/j.jece.2021.106588,Elsevier,Journal of Environmental Chemical Engineering,green,FALSE,2021
10.1016/j.jece.2023.111395,Elsevier,Journal of Environmental Chemical Engineering,closed,FALSE,2023
10.1016/j.jelechem.2021.115971,Elsevier,Journal of Electroanalytical Chemistry,hybrid,FALSE,2022
10.1016/j.jempfin.2021.07.010,Elsevier,Journal of Empirical Finance,green,FALSE,2021
10.1016/j.jempfin.2025.101611,Elsevier,Journal of Empirical Finance,hybrid,TRUE,2025
10.1016/j.jenvman.2022.114951,Elsevier,Journal of Environmental Management,closed,FALSE,2022
10.1016/j.jenvman.2022.116279,Elsevier,Journal of Environmental Management,hybrid,TRUE,2022
10.1016/j.jenvman.2022.116297,Elsevier,Journal of Environmental Management,hybrid,FALSE,2022
10.1016/j.jenvman.2022.117125,Elsevier,Journal of Environmental Management,hybrid,TRUE,2023
10.1016/j.jenvman.2023.119345,Elsevier,Journal of Environmental Management,hybrid,TRUE,2023
10.1016/j.jenvman.2024.120117,Elsevier,Journal of Environmental Management,closed,FALSE,2024
10.1016/j.jenvman.2024.121132,Elsevier,Journal of Environmental Management,closed,FALSE,2024
10.1016/j.jenvman.2024.121319,Elsevier,Journal of Environmental Management,closed,FALSE,2024
10.1016/j.jenvman.2024.121955,Elsevier,Journal of Environmental Management,closed,FALSE,2024
10.1016/j.jenvman.2024.122262,Elsevier,Journal of Environmental Management,green,FALSE,2024
10.1016/j.jenvman.2024.122994,Elsevier,Journal of Environmental Management,hybrid,FALSE,2024
10.1016/j.jep.2020.113142,Elsevier,Journal of Ethnopharmacology,closed,FALSE,2021
10.1016/j.jep.2021.114392,Elsevier,Journal of Ethnopharmacology,green,TRUE,2021
10.1016/j.jep.2023.116688,Elsevier,Journal of Ethnopharmacology,bronze,TRUE,2023
10.1016/j.jfca.2022.104704,Elsevier,Journal of Food Composition and Analysis,closed,FALSE,2022
10.1016/j.jfueco.2021.100045,Elsevier,Fuel Communications,gold,FALSE,2022
10.1016/j.jgeb.2024.100427,Elsevier,Journal of Genetic Engineering and Biotechnology,gold,FALSE,2024
10.1016/j.jgsce.2024.205367,Elsevier,Gas Science and Engineering,hybrid,TRUE,2024
10.1016/j.jhydrol.2021.126338,Elsevier,Journal of Hydrology,closed,FALSE,2021
10.1016/j.jhydrol.2021.126752,Elsevier,Journal of Hydrology,closed,FALSE,2021
10.1016/j.jhydrol.2023.130239,Elsevier,Journal of Hydrology,closed,FALSE,2023
10.1016/j.jhydrol.2024.131149,Elsevier,Journal of Hydrology,closed,FALSE,2024
10.1016/j.jhydrol.2024.131181,Elsevier,Journal of Hydrology,closed,FALSE,2024
10.1016/j.jid.2020.06.029,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2020.11.009,Elsevier,Journal of Investigative Dermatology,hybrid,TRUE,2021
10.1016/j.jid.2020.12.019,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2021.02.632,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2021.02.747,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2021.07.131,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2021.09.009,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2021
10.1016/j.jid.2022.04.028,Elsevier,Journal of Investigative Dermatology,green,FALSE,2022
10.1016/j.jid.2022.05.033,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.05.735,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.05.743,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.05.856,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.07.031,Elsevier,Journal of Investigative Dermatology,hybrid,FALSE,2022
10.1016/j.jid.2022.09.555,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.09.567,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2022.09.597,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2022
10.1016/j.jid.2023.02.013,Elsevier,Journal of Investigative Dermatology,green,FALSE,2023
10.1016/j.jid.2023.03.1120,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2023
10.1016/j.jid.2023.03.1440,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2023
10.1016/j.jid.2023.03.1445,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2023
10.1016/j.jid.2023.03.1456,Elsevier,Journal of Investigative Dermatology,closed,FALSE,2023
10.1016/j.jid.2023.06.178,Elsevier,Journal of Investigative Dermatology,bronze,FALSE,2023
10.1016/j.jik.2024.100547,Elsevier,Journal of Innovation & Knowledge,gold,TRUE,2024
10.1016/j.jimonfin.2022.102651,Elsevier,Journal of International Money and Finance,hybrid,FALSE,2022
10.1016/j.jmapro.2023.07.068,Elsevier,Journal of Manufacturing Processes,hybrid,TRUE,2023
10.1016/j.jmccpl.2024.100112,Elsevier,Journal of Molecular and Cellular Cardiology Plus,gold,FALSE,2024
10.1016/j.jmh.2022.100128,Elsevier,Journal of Migration and Health,gold,FALSE,2022
10.1016/j.jmir.2021.04.006,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,FALSE,2021
10.1016/j.jmir.2021.05.014,Elsevier,Journal of Medical Imaging and Radiation Sciences,bronze,FALSE,2021
10.1016/j.jmir.2021.10.002,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,TRUE,2021
10.1016/j.jmir.2022.05.009,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,FALSE,2022
10.1016/j.jmir.2023.02.006,Elsevier,Journal of Medical Imaging and Radiation Sciences,closed,TRUE,2023
10.1016/j.jmir.2023.06.004,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,TRUE,2023
10.1016/j.jmir.2023.09.006,Elsevier,Journal of Medical Imaging and Radiation Sciences,bronze,FALSE,2023
10.1016/j.jmir.2023.09.009,Elsevier,Journal of Medical Imaging and Radiation Sciences,bronze,FALSE,2023
10.1016/j.jmir.2023.09.013,Elsevier,Journal of Medical Imaging and Radiation Sciences,closed,FALSE,2023
10.1016/j.jmir.2024.03.036,Elsevier,Journal of Medical Imaging and Radiation Sciences,green,FALSE,2024
10.1016/j.jmir.2024.101725,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,FALSE,2024
10.1016/j.jmir.2024.101763,Elsevier,Journal of Medical Imaging and Radiation Sciences,hybrid,FALSE,2024
10.1016/j.jmir.2024.101772,Elsevier,Journal of Medical Imaging and Radiation Sciences,closed,FALSE,2024
10.1016/j.jmir.2025.101856,Elsevier,Journal of Medical Imaging and Radiation Sciences,closed,FALSE,2025
10.1016/j.jmmm.2023.171240,Elsevier,Journal of Magnetism and Magnetic Materials,closed,FALSE,2023
10.1016/j.jmmm.2023.171361,Elsevier,Journal of Magnetism and Magnetic Materials,closed,FALSE,2023
10.1016/j.jmrt.2021.10.119,Elsevier,Journal of Materials Research and Technology,gold,TRUE,2021
10.1016/j.jmrt.2022.07.156,Elsevier,Journal of Materials Research and Technology,gold,TRUE,2022
10.1016/j.jmst.2021.04.051,Elsevier,Journal of Material Science and Technology,closed,FALSE,2022
10.1016/j.jnca.2025.104110,Elsevier,Journal of Network and Computer Applications,hybrid,TRUE,2025
10.1016/j.jnnfm.2022.104806,Elsevier,Journal of Non-Newtonian Fluid Mechanics,hybrid,TRUE,2022
10.1016/j.jnnfm.2022.104915,Elsevier,Journal of Non-Newtonian Fluid Mechanics,hybrid,TRUE,2022
10.1016/j.jobb.2022.03.001,Elsevier,Journal of Biosafety and Biosecurity,gold,FALSE,2022
10.1016/j.jobb.2023.07.004,Elsevier,Journal of Biosafety and Biosecurity,gold,TRUE,2023
10.1016/j.jobb.2023.11.001,Elsevier,Journal of Biosafety and Biosecurity,gold,FALSE,2023
10.1016/j.jobb.2024.03.003,Elsevier,Journal of Biosafety and Biosecurity,gold,TRUE,2024
10.1016/j.jobb.2024.09.002,Elsevier,Journal of Biosafety and Biosecurity,gold,TRUE,2024
10.1016/j.jobe.2020.101690,Elsevier,Journal of Building Engineering,closed,FALSE,2021
10.1016/j.jobe.2021.102776,Elsevier,Journal of Building Engineering,closed,FALSE,2021
10.1016/j.jobe.2021.103861,Elsevier,Journal of Building Engineering,closed,FALSE,2022
10.1016/j.jobe.2022.104104,Elsevier,Journal of Building Engineering,hybrid,TRUE,2022
10.1016/j.jobe.2023.106306,Elsevier,Journal of Building Engineering,closed,FALSE,2023
10.1016/j.jobe.2023.107546,Elsevier,Journal of Building Engineering,hybrid,TRUE,2023
10.1016/j.jobe.2023.108428,Elsevier,Journal of Building Engineering,closed,FALSE,2024
10.1016/j.jobe.2024.109010,Elsevier,Journal of Building Engineering,hybrid,TRUE,2024
10.1016/j.jobe.2024.109463,Elsevier,Journal of Building Engineering,closed,FALSE,2024
10.1016/j.jobe.2025.112166,Elsevier,Journal of Building Engineering,closed,FALSE,2025
10.1016/j.jocs.2021.101363,Elsevier,Journal of Computational Science,hybrid,TRUE,2021
10.1016/j.jorganchem.2024.123168,Elsevier,Journal of Organometallic Chemistry,hybrid,FALSE,2024
10.1016/j.josfa.2024.100005,Elsevier,Journal of Sustainable Finance and Accounting,closed,FALSE,2024
10.1016/j.jpain.2024.104526,Elsevier,Journal of Pain,closed,FALSE,2024
10.1016/j.jprocont.2022.09.003,Elsevier,Journal of Process Control,closed,FALSE,2022
10.1016/j.jretconser.2022.103054,Elsevier,Journal of Retailing and Consumer Services,hybrid,TRUE,2022
10.1016/j.jsbmb.2024.106523,Elsevier,The Journal of Steroid Biochemistry and Molecular Biology,closed,FALSE,2024
10.1016/j.jssc.2023.124174,Elsevier,Journal of Solid State Chemistry,closed,TRUE,2023
10.1016/j.jstrokecerebrovasdis.2022.106972,Elsevier,Journal of Stroke and Cerebrovascular Diseases,hybrid,TRUE,2023
10.1016/j.jstrokecerebrovasdis.2024.107917,Elsevier,Journal of Stroke and Cerebrovascular Diseases,closed,TRUE,2024
10.1016/j.knee.2021.04.007,Elsevier,The Knee,closed,FALSE,2021
10.1016/j.knosys.2021.107914,Elsevier,Knowledge-Based Systems,closed,FALSE,2022
10.1016/j.knosys.2024.112025,Elsevier,Knowledge-Based Systems,hybrid,TRUE,2024
10.1016/j.laheal.2023.09.002,Elsevier,Language and Health,gold,FALSE,2023
10.1016/j.lanepe.2021.100034,Elsevier,The Lancet Regional Health - Europe,gold,FALSE,2021
10.1016/j.lanhl.2024.100670,Elsevier,The Lancet Healthy Longevity,gold,FALSE,2025
10.1016/j.lanhl.2024.100676,Elsevier,The Lancet Healthy Longevity,gold,FALSE,2025
10.1016/j.learninstruc.2021.101537,Elsevier,Learning and Instruction,green,TRUE,2021
10.1016/j.lfs.2022.121046,Elsevier,Life Sciences,green,TRUE,2022
10.1016/j.lfs.2023.121662,Elsevier,Life Sciences,closed,TRUE,2023
10.1016/j.matchemphys.2024.129460,Elsevier,Materials Chemistry and Physics,closed,FALSE,2024
10.1016/j.matdes.2022.111244,Elsevier,Materials & Design,gold,TRUE,2022
10.1016/j.measurement.2022.112166,Elsevier,Measurement,closed,FALSE,2022
10.1016/j.measurement.2023.113971,Elsevier,Measurement,hybrid,TRUE,2024
10.1016/j.measurement.2024.114267,Elsevier,Measurement,closed,FALSE,2024
10.1016/j.meegid.2022.105369,Elsevier,"Infection, Genetics and Evolution",gold,FALSE,2022
10.1016/j.metip.2024.100161,Elsevier,Methods in Psychology,gold,TRUE,2024
10.1016/j.mex.2022.101684,Elsevier,MethodsX,gold,TRUE,2022
10.1016/j.mex.2023.102304,Elsevier,MethodsX,gold,FALSE,2023
10.1016/j.midw.2020.102915,Churchill Livingstone,Midwifery,green,FALSE,2021
10.1016/j.molliq.2020.114894,Elsevier,Journal of Molecular Liquids,closed,FALSE,2021
10.1016/j.molliq.2021.115707,Elsevier,Journal of Molecular Liquids,closed,TRUE,2021
10.1016/j.molliq.2021.115821,Elsevier,Journal of Molecular Liquids,closed,TRUE,2021
10.1016/j.molstruc.2021.130407,Elsevier,Journal of Molecular Structure,closed,FALSE,2021
10.1016/j.molstruc.2021.131387,Elsevier,Journal of Molecular Structure,closed,TRUE,2022
10.1016/j.molstruc.2023.136311,Elsevier,Journal of Molecular Structure,hybrid,TRUE,2023
10.1016/j.molstruc.2023.137208,Elsevier,Journal of Molecular Structure,closed,FALSE,2024
10.1016/j.mrgentox.2020.503306,Elsevier,Mutation Research - Genetic Toxicology and Environmental Mutagenesis,green,TRUE,2021
10.1016/j.mrrev.2021.108371,Elsevier,Mutation Research/Reviews in Mutation Research,hybrid,FALSE,2021
10.1016/j.msksp.2024.102921,Elsevier,Musculoskeletal Science and Practice,hybrid,TRUE,2024
10.1016/j.mssp.2021.105748,Elsevier,Materials Science in Semiconductor Processing,closed,FALSE,2021
10.1016/j.mtcomm.2021.102402,Elsevier,Materials Today Communications,closed,FALSE,2021
10.1016/j.mtcomm.2022.104293,Elsevier,Materials Today Communications,closed,FALSE,2022
10.1016/j.mtcomm.2022.104562,Elsevier,Materials Today Communications,closed,TRUE,2022
10.1016/j.mtcomm.2022.105242,Elsevier,Materials Today Communications,hybrid,TRUE,2023
10.1016/j.mtsust.2022.100115,Elsevier,Materials Today Sustainability,closed,FALSE,2022
10.1016/j.mtsust.2023.100446,Elsevier,Materials Today Sustainability,closed,FALSE,2023
10.1016/j.mtsust.2023.100585,Elsevier,Materials Today Sustainability,closed,FALSE,2023
10.1016/j.nano.2021.102401,Elsevier,Nanomedicine Nanotechnology Biology and Medicine,hybrid,FALSE,2021
10.1016/j.nedt.2023.106049,Elsevier,Nurse Education Today,hybrid,FALSE,2023
10.1016/j.nedt.2024.106119,Elsevier,Nurse Education Today,hybrid,TRUE,2024
10.1016/j.nepr.2023.103870,Elsevier,Nurse Education in Practice,closed,FALSE,2023
10.1016/j.nepr.2024.104226,Elsevier,Nurse Education in Practice,hybrid,TRUE,2024
10.1016/j.neucom.2021.08.080,Elsevier,Neurocomputing,hybrid,FALSE,2021
10.1016/j.neucom.2022.01.088,Elsevier,Neurocomputing,closed,FALSE,2022
10.1016/j.neucom.2022.07.082,Elsevier,Neurocomputing,green,FALSE,2022
10.1016/j.neuropharm.2023.109760,Elsevier,Neuropharmacology,closed,TRUE,2023
10.1016/j.neuropharm.2024.110110,Elsevier,Neuropharmacology,hybrid,FALSE,2024
10.1016/j.nicl.2021.102925,Elsevier,NeuroImage Clinical,gold,FALSE,2021
10.1016/j.nicl.2022.103092,Elsevier,NeuroImage Clinical,gold,FALSE,2022
10.1016/j.nmd.2024.07.140,Elsevier,Neuromuscular Disorders,closed,FALSE,2024
10.1016/j.nmd.2024.07.170,Elsevier,Neuromuscular Disorders,closed,FALSE,2024
10.1016/j.numecd.2021.01.017,Elsevier,Nutrition Metabolism and Cardiovascular Diseases,green,FALSE,2021
10.1016/j.oceaneng.2021.109973,Elsevier,Ocean Engineering,closed,TRUE,2021
10.1016/j.oceaneng.2021.110344,Elsevier,Ocean Engineering,closed,TRUE,2022
10.1016/j.oceaneng.2022.110527,Elsevier,Ocean Engineering,closed,TRUE,2022
10.1016/j.oceaneng.2022.111399,Elsevier,Ocean Engineering,closed,FALSE,2022
10.1016/j.oceaneng.2022.112134,Elsevier,Ocean Engineering,closed,TRUE,2022
10.1016/j.oceaneng.2022.113416,Elsevier,Ocean Engineering,closed,FALSE,2023
10.1016/j.oceaneng.2023.114660,Elsevier,Ocean Engineering,hybrid,TRUE,2023
10.1016/j.oceaneng.2023.115369,Elsevier,Ocean Engineering,closed,TRUE,2023
